Airline Name,Departure Date,Departure Month,Arrival Time,Departure Time,Source,Destination,Duration,Total Stops,Price
IndiGo,24,3,3/22/2022 1:10,22:20,Banglore,New Delhi,2h 50m,non-stop,3897
Air India,1,5,13:15,5:50,Kolkata,Banglore,7h 25m,2 stops,7662
Jet Airways,9,6,6/10/2022 4:25,9:25,Delhi,Cochin,19h,2 stops,13882
IndiGo,12,5,23:30,18:05,Kolkata,Banglore,5h 25m,1 stop,6218
IndiGo,1,3,21:35,16:50,Banglore,New Delhi,4h 45m,1 stop,13302
SpiceJet,24,6,11:25,9:00,Kolkata,Banglore,2h 25m,non-stop,3873
Jet Airways,12,3,3/13/2022 10:25,18:55,Banglore,New Delhi,15h 30m,1 stop,11087
Jet Airways,1,3,3/2/2022 5:05,8:00,Banglore,New Delhi,21h 5m,1 stop,22270
Jet Airways,12,3,3/13/2022 10:25,8:55,Banglore,New Delhi,25h 30m,1 stop,11087
Multiple carriers,27,5,19:15,11:25,Delhi,Cochin,7h 50m,1 stop,8625
Air India,1,6,23:00,9:45,Delhi,Cochin,13h 15m,1 stop,8907
IndiGo,18,4,22:55,20:20,Kolkata,Banglore,2h 35m,non-stop,4174
Air India,24,6,13:55,11:40,Chennai,Kolkata,2h 15m,non-stop,4667
Jet Airways,9,5,5/10/2022 9:20,21:10,Kolkata,Banglore,12h 10m,1 stop,9663
IndiGo,24,4,19:50,17:15,Kolkata,Banglore,2h 35m,non-stop,4804
Air India,3,3,3/4/2022 19:15,16:40,Delhi,Cochin,26h 35m,2 stops,14011
SpiceJet,15,4,13:15,8:45,Delhi,Cochin,4h 30m,1 stop,5830
Jet Airways,12,6,6/13/2022 12:35,14:00,Delhi,Cochin,22h 35m,1 stop,10262
Air India,12,6,6/13/2022 19:15,20:15,Delhi,Cochin,23h,2 stops,13381
Jet Airways,27,5,5/28/2022 12:35,16:00,Delhi,Cochin,20h 35m,1 stop,12898
GoAir,6,3,19:20,14:10,Delhi,Cochin,5h 10m,1 stop,19495
Air India,21,3,3/19/2022 13:20,22:00,Banglore,New Delhi,15h 20m,1 stop,6955
IndiGo,3,4,6:50,4:00,Banglore,Delhi,2h 50m,non-stop,3943
IndiGo,1,5,21:50,18:55,Banglore,Delhi,2h 55m,non-stop,4823
Jet Airways,6,5,5/7/2022 8:15,18:55,Kolkata,Banglore,13h 20m,1 stop,7757
Jet Airways,9,6,6/10/2022 12:35,21:25,Delhi,Cochin,15h 10m,2 stops,13292
IndiGo,1,6,6/2/2022 3:35,21:50,Delhi,Cochin,5h 45m,1 stop,8238
GoAir,15,5,12:55,7:00,Delhi,Cochin,5h 55m,1 stop,7682
Vistara,18,6,12:35,9:45,Banglore,Delhi,2h 50m,non-stop,4668
Vistara,15,6,9:20,7:05,Chennai,Kolkata,2h 15m,non-stop,3687
Vistara,18,6,9:20,7:05,Chennai,Kolkata,2h 15m,non-stop,3687
Air India,1,5,23:15,9:50,Kolkata,Banglore,13h 25m,2 stops,13227
IndiGo,6,4,6:50,4:00,Banglore,Delhi,2h 50m,non-stop,4423
Jet Airways,15,6,6/16/2022 12:35,14:35,Delhi,Cochin,22h,2 stops,10919
Jet Airways,18,5,12:35,7:05,Delhi,Cochin,5h 30m,1 stop,12373
IndiGo,27,6,21:00,10:35,Delhi,Cochin,10h 25m,1 stop,5894
SpiceJet,21,5,20:20,15:05,Kolkata,Banglore,5h 15m,1 stop,4649
Air India,18,5,16:45,14:15,Kolkata,Banglore,2h 30m,non-stop,6245
Jet Airways,6,3,13:15,7:00,Banglore,New Delhi,6h 15m,1 stop,19225
Jet Airways,3,6,19:00,7:05,Delhi,Cochin,11h 55m,1 stop,14924
